D1;Canarian wrinkly potatoes;Spanish;Starters;a representative Canarian dish of boiled and salted small potatoes usually served with a pepper sauce, mojo, or as an accompaniment to meat dishes.
D2;Coca;Spanish;Starters;a savory or sweet pastry with toppings. Savory coca could be considered a twin sister to the Italian pizza
D3;Escalivada;Spanish;Starters;a Catalan salad that consists of several types of grilled vegetables, such as eggplants, sweet red peppers, red tomatoes, and sweet onions. Once well cooked on the grill, those vegetables are peeled and sliced in strips, the seeds removed, and seasoned with olive oil and salt, and sometimes with garlic as well.
D4;Migas;Spanish;Starters;"It includes day-old bread soaked in water slowly fried with olive oil; often served with pan-fried pork ribs, green peppers, grapes, fried garlics, spicy sausage or sardines."
D5;Pa amb tomaquet;Spanish;Starters;bread with tomato
D6;Patatas bravas;Spanish;Starters;a fried potato dish served warm with a spicy tomato sauce. It is traditionally accompanied by a glass of beer or any kind of wine.
D7;Pincho;Spanish;Starters;"a small slice of bread upon which an ingredient or mixture of ingredients is put and held there using a stick. The common ingredients are fish such as hake, cod, anchovy, and baby eels; tortilla de patatas; stuffed peppers; and croquettes."
D8;Pulpo a feira;Spanish;Starters;boiled octopus sprinkled with coarse salt and paprika (pemento picante) and drizzled with olive oil.It is served along with boiled potatoes and bread.
D9;Tapas;Spanish;Starters;a wide variety of appetizers
D10;Tortilla de patatas;Spanish;Starters;egg omelette with fried potatoes. Frequently it also includes onion and garlic, depending on region or taste.
D11;Tumbet;Spanish;Starters;a traditional vegetable dish from Mallorca. Tombet combines layers of sliced potatoes, aubergines and red bell peppers previously fried in olive oil.
D12;Zarangollo;Spanish;Starters;scrambled eggs with zucchini, onion, and occasionally potatoes. frequently served in tapas bars in the area.
D13;Arroz a la cubana;Spanish;Main dishes;a dish consisting of rice, a fried egg and tomato sauce.
D14;Arros negre;Spanish;Main dishes;a cuttlefish (or squid) and rice dish very similar to seafood paella. It is made with cephalopod ink, cuttlefish or squid, rice, garlic, green cubanelle peppers, sweet paprika, olive oil and seafood broth.
D15;Chicharron (Pork Scratchings);Spanish;Main dishes;a dish made of fried pork rinds. It is sometimes made from chicken, mutton, or beef.
D16;Chireta;Spanish;Main dishes;an Aragonese type of haggis.
D17;Cuchifritos;Spanish;Main dishes;a fried lamb or goat meat along with olive oil, garlic, vinegar, basil, rosemary, bay leaves, and spearmint.
D18;Escabeche;Spanish;Main dishes;referring to both a dish of poached or fried fish, and not only fish (escabeche of chicken, rabbit or pork is common in Spain) that is marinated in an acidic mixture before serving, and to the marinade itself.
D19;Fideua;Spanish;Main dishes;a noodle dish with a similar recipe to paella, usually made with seafood and fish, and optionally served with allioli sauce (garlic and olive oil sauce).
D20;Gachas;Spanish;Main dishes;an ancestral basic dish from central and southern Spain. Its main ingredients are flour, water, olive oil, garlic and salt.
D21;Gazpacho manchego;Spanish;Main dishes;pieces of torta de Gazpacho, also known as torta cencena, a type of flat bread, mixed with a quail, pigeon, hare or rabbit stew.
D22;Merienda;Spanish;Main dishes;a midday meal had in Spain around 6:00 p.m. to fill in the meal gap between lunch and dinner. It is a simple meal that often consists of a piece of bread and cheese, cold meat, chocolate, etc.
D23;Paella;Spanish;Main dishes;"a saffron rice dish combined with white fish, shrimps, squids and clams. Rice can be mixed with fish and meat (Mixed paella) or vegetables (Vegetarian paella). The name ""paella"" comes from the name of the special pan used for the cooking."
D24;Pescaito frito;Spanish;Main dishes;fried fish
D25;Pinchitos;Spanish;Main dishes;a Moroccan influenced dish consisted of small cubes of meat threaded onto a skewer (pincho) which are traditionally cooked over charcoal braziers.
D26;Pringa;Spanish;Main dishes;It consists of roast beef or pork, cured sausages such as chorizo and morcilla, and beef or pork fat that is slow cooked for many hours until the meat falls apart easily.
D27;Ropa vieja;Spanish;Main dishes;shredded flank steak in a tomato sauce base
D28;Empanada;Spanish;Breads and pastries;a savory or sweet stuffed bread or pastry.
D29;Ensa?mada;Spanish;Breads and pastries;a pastry
D30;Hornazo;Spanish;Breads and pastries;"a meat pie or bread made with flour and yeast and stuffed with pork loin, spicy chorizo sausage and hard-boiled eggs. In Salamanca, it is traditionally eaten in the field during the ""Monday of the Waters"" (Lunes de Aguas) festival."
D31;Mollete;Spanish;Breads and pastries;a kind of bread
D32;Polvoron;Spanish;Breads and pastries;a type of Andalusian shortbread of Levantine origin that is made of flour, sugar, pig fat, almonds and cinnamon.
D33;Talau;Spanish;Breads and pastries;a Basque fried bread from the Pyrenees. It is made with regular wheat flour, water,oil or fat, salt and yeast. They are traditionally served with a fried egg.
D34;Ajoblanco;Spanish;Soups and stews;a cold soup made of bread, crushed almonds, garlic, water, olive oil, salt and sometimes vinegar. It is usually served with grapes or slices of melon.
D35;Cocido;Spanish;Soups and stews;a stew made with different meats and vegetables, numerous regional variations exist
D36;Cocido madrileno;Spanish;Soups and stews;a traditional chickpea-based stew from Madrid, Spain made with vegetables, potatoes and meat
D37;Escudella;Spanish;Soups and stews;a Catalan stew made with sausages called botifarra or a pieces of meat spiced with peppers, cinnamon
D38;Caparrones;Spanish;Soups and stews;a bean and sausage stew
D39;Fabada Asturiana;Spanish;Soups and stews;a rich bean stew
D40;Gazpacho;Spanish;Soups and stews;a cold soup
D41;Marmitako;Spanish;Soups and stews;a dish with potatoes, onions, pimientos, and tomatoes.
D42;Olla podrida;Spanish;Soups and stews;a Spanish stew made from pork and beans and other meats and vegetables
D43;Ollada;Spanish;Soups and stews;boiling vegetables and meat in a casserole
D44;Piperade;Spanish;Soups and stews;a Basque dish typically prepared with onion, green peppers, and tomatoes sauted in olive oil and flavoured with Espelette pepper.
