"DES","PHONE_NUMBER","MAIL","PROD_CATEGORY","COUNTRY_NAME","GEO_ID"
"VanceJones Ltd","650.501.4876","Jones@company.com","Software/Other","France",488
"VanceJones Ltd","650.501.4876","Jones@company.com","Software/Other","Spain",345
"DanielleGreene Ltd","011.44.1346.229268","Greene@company.com","Software/Other","France",488
"LindseySmith Ltd","011.44.1345.729268","Smith@company.com","Software/Other","Germany",512
"JanetteKing Ltd","011.44.1345.429268","King@company.com","Software/Other","Canada",386
"JanetteKing Ltd","011.44.1345.429268","King@company.com","Software/Other","United States of America",379
"StevenKing Ltd","515.123.4567","King@company.com","Software/Other","France",488
"JanetteKing Ltd","011.44.1345.429268","King@company.com","Software/Other","Germany",512
"StevenKing Ltd","515.123.4567","King@company.com","Software/Other","Spain",345
"CharlesJohnson Ltd","011.44.1644.429262","Johnson@company.com","Software/Other","Italy",428
"CharlesJohnson Ltd","011.44.1644.429262","Johnson@company.com","Software/Other","Brazil",431
"LindseySmith Ltd","011.44.1345.729268","Smith@company.com","Software/Other","Italy",428
"LindseySmith Ltd","011.44.1345.729268","Smith@company.com","Software/Other","Poland",519
"WilliamSmith Ltd","011.44.1343.629268","Smith@company.com","Software/Other","Australia",378
"CharlesJohnson Ltd","011.44.1644.429262","Johnson@company.com","Software/Other","New Zealand",460
"WilliamSmith Ltd","011.44.1343.629268","Smith@company.com","Software/Other","Canada",386
"WilliamSmith Ltd","011.44.1343.629268","Smith@company.com","Software/Other","Argentina",313
"DavidLee Ltd","011.44.1346.529268","Lee@company.com","Software/Other","Poland",519
"DavidAustin Ltd","590.423.4569","Austin@company.com","Software/Other","United States of America",379
"BritneyEverett Ltd","650.501.2876","Everett@company.com","Software/Other","Argentina",313
"BritneyEverett Ltd","650.501.2876","Everett@company.com","Software/Other","Australia",378
"JonathonTaylor Ltd","011.44.1644.429265","Taylor@company.com","Software/Other","China",346
"HarrisonBloom Ltd","011.44.1343.829268","Bloom@company.com","Software/Other","United States of America",379
"HarrisonBloom Ltd","011.44.1343.829268","Bloom@company.com","Software/Other","Italy",428
"JohnChen Ltd","515.124.4269","talbot.chen@company2.com","Software/Other","United States of America",379
"HarrisonBloom Ltd","011.44.1343.829268","Bloom@company.com","Software/Other","Saudi Arabia",389
"AlanaWalsh Ltd","650.507.9811","Walsh@company.com","Software/Other","Italy",428
"WinstonTaylor Ltd","650.507.9876","Taylor@company.com","Software/Other","United States of America",379
"DanielleGreene Ltd","011.44.1346.229268","Greene@company.com","Software/Other","United States of America",379
